lang,concept,layer,floor_mean,floor_lo,floor_hi
yor,sentiment,0,0.11962267,-0.015243487,0.33780318
yor,sentiment,1,0.014545281,-0.10202208,0.23109937
yor,sentiment,2,0.062673666,-0.069354095,0.26435223
yor,sentiment,3,-0.00017688618,-0.15408996,0.17488183
yor,sentiment,4,0.049067877,-0.16554123,0.29885468
yor,sentiment,5,0.060772724,-0.22122672,0.2839875
yor,sentiment,6,0.053057574,-0.21184817,0.26273948
yor,sentiment,7,0.06587143,-0.123698264,0.2589767
yor,sentiment,8,0.10649502,-0.11770218,0.25452515
yor,sentiment,9,0.21005964,-0.04257339,0.3285727
yor,sentiment,10,0.14867619,-0.045371827,0.27488336
yor,sentiment,11,0.12795143,-0.124695025,0.2891109
yor,sentiment,12,0.13046278,-0.115067616,0.29766625
yor,sentiment,13,0.11775136,-0.14570913,0.3285907
yor,sentiment,14,0.18399714,0.019704517,0.3438381
yor,sentiment,15,0.36084384,0.12765333,0.52383333
yor,sentiment,16,0.4247281,0.25318322,0.53794104
yor,sentiment,17,0.41822943,0.3032156,0.49867025
yor,sentiment,18,0.36773667,0.28757107,0.43183622
yor,sentiment,19,0.33467403,0.21526276,0.40721983
yor,sentiment,20,0.37188107,0.25588468,0.46306166
yor,sentiment,21,0.33859825,0.17731711,0.4533169
yor,sentiment,22,0.3328048,0.1261986,0.47353402
yor,sentiment,23,0.34149045,0.06799301,0.47947225
yor,sentiment,24,0.37564886,0.07716074,0.5381715
yor,sentiment,25,0.33880523,0.052485645,0.48789063
yor,sentiment,26,0.30502796,0.04139139,0.44469288
yor,sentiment,27,0.25913653,0.022889696,0.39787003
yor,sentiment,28,0.2481602,-0.009310627,0.4131792
yor,sentiment,29,0.23579264,-0.037018493,0.4128818
yor,sentiment,30,0.22310348,-0.051971305,0.4095591
yor,sentiment,31,0.20595083,-0.06972582,0.40429822
yor,sentiment,32,0.18924081,-0.06831758,0.39009312
yor,sentiment,33,0.18716851,-0.050022844,0.3784156
yor,sentiment,34,0.17693828,-0.06641443,0.3883037
yor,sentiment,35,0.18414085,-0.13661474,0.44425476
