layer,length_overlap,max_abs_corr_dim_vs_length
0,0.21548294,0.4715086358779787
1,0.28197733,0.6126651820797098
2,0.18034223,0.5928826529930814
3,0.0023084972,0.6405790874430694
4,0.27260286,0.4648264115341879
5,0.20219609,0.43526663873058863
6,0.1724127,0.4989422184240759
7,0.19353853,0.5423057759218483
8,0.20904568,0.5404059160978224
9,0.3433257,0.5401560632860107
10,0.26605636,0.5543234328573834
11,0.24726932,0.5573694476733729
12,0.38514233,0.6345545094386824
13,0.40114573,0.59323986875751
14,0.45468104,0.6139533161691793
15,0.23087734,0.5716078757497496
16,0.1830214,0.6098712913663701
17,0.12476747,0.577864199075607
18,0.15090811,0.553565067580029
19,0.15578929,0.5425899271666116
20,0.14736812,0.5345494897722526
21,0.14211804,0.5412039850618112
22,0.1181487,0.5273744487784647
23,0.10602579,0.5380002816385151
24,0.16054316,0.5926549859516675
25,0.20992456,0.5848244827740471
26,0.13952084,0.5920608581701665
27,0.10788314,0.5942189683846475
28,0.12268598,0.5957185093096252
29,0.105891705,0.5855747593776047
30,0.11587005,0.5848029797994091
31,0.11308914,0.5835145386135517
32,0.09435753,0.5850737665965334
33,0.106339835,0.5841635916801746
34,0.13183238,0.5303046658382642
35,0.0771045,0.45358551804852154
