model,rule,layer,floor,floor_lo,length_overlap,cos_A_C,below_A_C,cos_A_D,below_A_D
E2B,max_stability_any_layer,24,0.55800384,0.4191544,0.16054316,0.2314353734254837,True,0.7581803798675537,False
E2B,max_stability_overlap_lt_0.15,23,0.5365423,0.40234646,0.10602579,0.3075769543647766,True,0.688627302646637,False
E2B,min_length_overlap,3,0.26287827,0.15304357,0.0023084972,0.2274996489286422,False,0.6539494395256042,False
afrollama,max_stability_any_layer,2,0.9942396,0.98932403,0.9974736,-0.9776284694671632,True,0.9988983869552612,False
afrollama,max_stability_overlap_lt_0.15,32,0.50883734,0.38733703,0.0034864405,0.1976688057184219,True,0.7090816497802734,False
afrollama,min_length_overlap,32,0.50883734,0.38733703,0.0034864405,0.1976688057184219,True,0.7090816497802734,False
E4B,max_stability_any_layer,41,0.7097258,0.60204804,0.36344022,0.3988574147224426,True,0.8633450865745544,False
E4B,max_stability_overlap_lt_0.15,24,0.6652689,0.53215873,0.056902524,0.3666785061359405,True,0.8629317879676819,False
E4B,min_length_overlap,36,0.66225797,0.42170915,0.01174321,0.4148305654525757,True,0.8880854845046997,False
12B,max_stability_any_layer,48,0.6775203,0.5234648,0.46099487,0.4452522099018097,True,0.8464786410331726,False
12B,max_stability_overlap_lt_0.15,33,0.58780587,0.4743269,0.01991543,0.2141231298446655,True,0.8421312570571899,False
12B,min_length_overlap,32,0.5600287,0.44815615,0.009633779,0.2039835453033447,True,0.841190755367279,False
