lang,concept,arm,layer,cosine,floor_mean,floor_lo,floor_hi,length_overlap,below_floor
yor,sentiment,C,0,0.356574,0.29475766,0.17194565,0.40022662,0.24647944,False
yor,sentiment,C,1,0.35943964,0.30459446,0.18559095,0.4708785,0.21757077,False
yor,sentiment,C,2,-0.01812053,0.283282,0.11263878,0.45255008,0.13836308,True
yor,sentiment,C,3,0.01931377,0.496401,0.34960988,0.68773055,0.20418265,True
yor,sentiment,C,4,-0.08949145,0.52589774,0.4108502,0.6937957,0.36164188,True
yor,sentiment,C,5,0.11689681,0.42072424,0.31321713,0.5729168,0.11994648,True
yor,sentiment,C,6,0.055562872,0.49652505,0.35853273,0.6494662,0.254348,True
yor,sentiment,C,7,0.13651642,0.4918564,0.38699183,0.6352726,0.25400385,True
yor,sentiment,C,8,0.08481769,0.42365345,0.3235379,0.5662904,0.27715215,True
yor,sentiment,C,9,0.16152683,0.41849056,0.30605996,0.5354473,0.23397204,True
yor,sentiment,C,10,0.20996894,0.31452402,0.17116939,0.48285937,0.19573995,False
yor,sentiment,C,11,0.1424563,0.4109335,0.2682043,0.6039564,0.07296129,True
yor,sentiment,C,12,0.46685195,0.35288113,0.21223366,0.52563787,0.17878343,False
yor,sentiment,C,13,0.23355724,0.48786515,0.39547268,0.60136867,0.3497055,True
yor,sentiment,C,14,0.27114135,0.5023302,0.4238756,0.60943156,0.3433655,True
yor,sentiment,C,15,0.23145117,0.49764633,0.38553533,0.6110155,0.25099066,True
yor,sentiment,C,16,0.21165793,0.49118066,0.37478846,0.5990344,0.18285355,True
yor,sentiment,C,17,0.18385878,0.4923052,0.35675994,0.60213464,0.202779,True
yor,sentiment,C,18,0.17887859,0.4614118,0.34655795,0.5840593,0.11212266,True
yor,sentiment,C,19,0.1701804,0.4732836,0.345548,0.6021389,0.19821785,True
yor,sentiment,C,20,0.07905045,0.47129697,0.33871588,0.59148574,0.30268753,True
yor,sentiment,C,21,0.09544093,0.43163213,0.30528945,0.5449391,0.33237988,True
yor,sentiment,C,22,0.07755792,0.44369507,0.30805993,0.54405063,0.29933938,True
yor,sentiment,C,23,0.10266295,0.44674033,0.26802132,0.56035703,0.19599259,True
yor,sentiment,C,24,0.10088749,0.4783821,0.30793798,0.58742607,0.21516694,True
yor,sentiment,C,25,0.12442479,0.5008655,0.34263632,0.61042,0.214869,True
yor,sentiment,C,26,0.1500629,0.49675328,0.37712497,0.60431516,0.19168673,True
yor,sentiment,C,27,0.16460256,0.47388834,0.32466897,0.5701268,0.113565594,True
yor,sentiment,C,28,0.18011001,0.48981267,0.34088323,0.5977119,0.0792777,True
yor,sentiment,C,29,0.16604193,0.4926633,0.37350652,0.59658426,0.10282308,True
