lang,concept,arm,layer,cosine,floor_mean,floor_lo,floor_hi,length_overlap,below_floor
yor,sentiment,C,0,0.3472129,0.29050824,0.14448509,0.40901998,0.15844652,False
yor,sentiment,C,1,0.19800106,0.28123546,0.11180778,0.39492908,0.23079148,False
yor,sentiment,C,2,0.14758673,0.351557,0.1420879,0.48346418,0.3114125,False
yor,sentiment,C,3,0.12508668,0.33078283,0.060136314,0.4881823,0.40311837,False
yor,sentiment,C,4,0.29330024,0.38635293,0.23439033,0.51369506,0.13707742,False
yor,sentiment,C,5,0.27936542,0.46120316,0.38185704,0.5808497,0.17057337,True
yor,sentiment,C,6,0.32279816,0.50891316,0.41407186,0.604849,0.16593051,True
yor,sentiment,C,7,0.33097088,0.52144945,0.42125157,0.60321814,0.11338435,True
yor,sentiment,C,8,0.34891313,0.5557991,0.44036925,0.6324938,0.05663385,True
yor,sentiment,C,9,0.27226672,0.5366379,0.4177925,0.63789326,0.14914475,True
yor,sentiment,C,10,0.35557264,0.54681027,0.4162606,0.6338129,0.04119248,True
yor,sentiment,C,11,0.35494515,0.538679,0.43803754,0.60703146,0.12737593,True
yor,sentiment,C,12,0.28366584,0.5139996,0.41118082,0.6018286,0.19431007,True
yor,sentiment,C,13,0.2930244,0.53194904,0.435688,0.611672,0.22148089,True
yor,sentiment,C,14,0.2525089,0.5146723,0.4229112,0.61603314,0.24498658,True
yor,sentiment,C,15,0.2661137,0.548293,0.44773927,0.64928424,0.23280239,True
yor,sentiment,C,16,0.2821503,0.53781265,0.41303372,0.6382807,0.21158388,True
yor,sentiment,C,17,0.37146333,0.55895,0.43900707,0.6519115,0.1630895,True
yor,sentiment,C,18,0.2978396,0.56833684,0.44024935,0.66201437,0.27547467,True
yor,sentiment,C,19,0.33615237,0.6147696,0.49412325,0.7176628,0.19598821,True
yor,sentiment,C,20,0.29382572,0.5969912,0.47596502,0.699254,0.28727707,True
yor,sentiment,C,21,0.22927047,0.5821061,0.46541756,0.69351804,0.30040032,True
yor,sentiment,C,22,0.15534888,0.5444908,0.41284353,0.68364215,0.41499463,True
yor,sentiment,C,23,0.15163663,0.54465914,0.3286596,0.6690275,0.26776725,True
yor,sentiment,C,24,0.3666785,0.6652689,0.53215873,0.75061363,0.056902524,True
yor,sentiment,C,25,0.38151875,0.6457239,0.5131454,0.73646784,0.017428584,True
yor,sentiment,C,26,0.397847,0.6336638,0.50736725,0.7194961,0.051923558,True
yor,sentiment,C,27,0.35111523,0.62448895,0.50890714,0.7140541,0.015220878,True
yor,sentiment,C,28,0.32921678,0.6063038,0.4892831,0.7062392,0.024427295,True
yor,sentiment,C,29,0.33855662,0.61099184,0.501434,0.70976645,0.033650115,True
yor,sentiment,C,30,0.2669239,0.6387955,0.50939643,0.7329823,0.13854283,True
yor,sentiment,C,31,0.3023081,0.6029183,0.434589,0.7221527,0.15543915,True
yor,sentiment,C,32,0.31358078,0.6371013,0.47498143,0.75235254,0.17550258,True
yor,sentiment,C,33,0.35719466,0.63593924,0.4457853,0.7586766,0.13699919,True
yor,sentiment,C,34,0.35317475,0.615677,0.40133128,0.7508658,0.051449295,True
yor,sentiment,C,35,0.38302782,0.64684045,0.40541902,0.78731114,0.012537956,True
yor,sentiment,C,36,0.41483057,0.66225797,0.42170915,0.80400985,0.01174321,True
yor,sentiment,C,37,0.47097716,0.6606078,0.38919213,0.7989128,0.059368014,False
yor,sentiment,C,38,0.4615293,0.65027004,0.38229507,0.78523016,0.072492205,False
yor,sentiment,C,39,0.45526078,0.64033145,0.4114491,0.77042776,0.08389798,False
yor,sentiment,C,40,0.40840697,0.6448855,0.47469452,0.7577363,0.073889725,True
yor,sentiment,C,41,0.3988574,0.7097258,0.60204804,0.79427236,0.36344022,True
yor,sentiment,C,42,0.18353106,0.5601334,0.444839,0.66899526,0.19107142,True
yor,sentiment,D,0,0.6655666,0.29050824,0.14448509,0.40901998,0.15844652,False
yor,sentiment,D,1,0.63001496,0.28123546,0.11180778,0.39492908,0.23079148,False
yor,sentiment,D,2,0.7110804,0.351557,0.1420879,0.48346418,0.3114125,False
yor,sentiment,D,3,0.68942696,0.33078283,0.060136314,0.4881823,0.40311837,False
yor,sentiment,D,4,0.7345364,0.38635293,0.23439033,0.51369506,0.13707742,False
yor,sentiment,D,5,0.7585397,0.46120316,0.38185704,0.5808497,0.17057337,False
yor,sentiment,D,6,0.7751952,0.50891316,0.41407186,0.604849,0.16593051,False
yor,sentiment,D,7,0.76863927,0.52144945,0.42125157,0.60321814,0.11338435,False
yor,sentiment,D,8,0.7817996,0.5557991,0.44036925,0.6324938,0.05663385,False
yor,sentiment,D,9,0.81634754,0.5366379,0.4177925,0.63789326,0.14914475,False
yor,sentiment,D,10,0.7923444,0.54681027,0.4162606,0.6338129,0.04119248,False
yor,sentiment,D,11,0.7821408,0.538679,0.43803754,0.60703146,0.12737593,False
yor,sentiment,D,12,0.79358053,0.5139996,0.41118082,0.6018286,0.19431007,False
yor,sentiment,D,13,0.81504095,0.53194904,0.435688,0.611672,0.22148089,False
yor,sentiment,D,14,0.8134985,0.5146723,0.4229112,0.61603314,0.24498658,False
yor,sentiment,D,15,0.8192234,0.548293,0.44773927,0.64928424,0.23280239,False
yor,sentiment,D,16,0.8217585,0.53781265,0.41303372,0.6382807,0.21158388,False
yor,sentiment,D,17,0.8316988,0.55895,0.43900707,0.6519115,0.1630895,False
yor,sentiment,D,18,0.8458495,0.56833684,0.44024935,0.66201437,0.27547467,False
yor,sentiment,D,19,0.86322755,0.6147696,0.49412325,0.7176628,0.19598821,False
yor,sentiment,D,20,0.8466701,0.5969912,0.47596502,0.699254,0.28727707,False
yor,sentiment,D,21,0.8184352,0.5821061,0.46541756,0.69351804,0.30040032,False
yor,sentiment,D,22,0.81522214,0.5444908,0.41284353,0.68364215,0.41499463,False
yor,sentiment,D,23,0.7893379,0.54465914,0.3286596,0.6690275,0.26776725,False
yor,sentiment,D,24,0.8629318,0.6652689,0.53215873,0.75061363,0.056902524,False
yor,sentiment,D,25,0.8560969,0.6457239,0.5131454,0.73646784,0.017428584,False
yor,sentiment,D,26,0.8600268,0.6336638,0.50736725,0.7194961,0.051923558,False
yor,sentiment,D,27,0.8588523,0.62448895,0.50890714,0.7140541,0.015220878,False
yor,sentiment,D,28,0.8430232,0.6063038,0.4892831,0.7062392,0.024427295,False
yor,sentiment,D,29,0.84033155,0.61099184,0.501434,0.70976645,0.033650115,False
yor,sentiment,D,30,0.8662058,0.6387955,0.50939643,0.7329823,0.13854283,False
yor,sentiment,D,31,0.8672883,0.6029183,0.434589,0.7221527,0.15543915,False
yor,sentiment,D,32,0.8821409,0.6371013,0.47498143,0.75235254,0.17550258,False
yor,sentiment,D,33,0.87327486,0.63593924,0.4457853,0.7586766,0.13699919,False
yor,sentiment,D,34,0.870612,0.615677,0.40133128,0.7508658,0.051449295,False
yor,sentiment,D,35,0.88854283,0.64684045,0.40541902,0.78731114,0.012537956,False
yor,sentiment,D,36,0.8880855,0.66225797,0.42170915,0.80400985,0.01174321,False
yor,sentiment,D,37,0.8786732,0.6606078,0.38919213,0.7989128,0.059368014,False
yor,sentiment,D,38,0.870536,0.65027004,0.38229507,0.78523016,0.072492205,False
yor,sentiment,D,39,0.8556477,0.64033145,0.4114491,0.77042776,0.08389798,False
yor,sentiment,D,40,0.8488093,0.6448855,0.47469452,0.7577363,0.073889725,False
yor,sentiment,D,41,0.8633451,0.7097258,0.60204804,0.79427236,0.36344022,False
yor,sentiment,D,42,0.8233342,0.5601334,0.444839,0.66899526,0.19107142,False
