lang,concept,comparison,layer,cosine,floor_lo,below_floor
yor,sentiment,A_vs_C,0,0.356574,0.17194565,False
yor,sentiment,A_vs_C,1,0.35943964,0.18559095,False
yor,sentiment,A_vs_C,2,-0.01812053,0.11263878,True
yor,sentiment,A_vs_C,3,0.01931377,0.34960988,True
yor,sentiment,A_vs_C,4,-0.08949145,0.4108502,True
yor,sentiment,A_vs_C,5,0.11689681,0.31321713,True
yor,sentiment,A_vs_C,6,0.055562872,0.35853273,True
yor,sentiment,A_vs_C,7,0.13651642,0.38699183,True
yor,sentiment,A_vs_C,8,0.08481769,0.3235379,True
yor,sentiment,A_vs_C,9,0.16152683,0.30605996,True
yor,sentiment,A_vs_C,10,0.20996894,0.17116939,False
yor,sentiment,A_vs_C,11,0.1424563,0.2682043,True
yor,sentiment,A_vs_C,12,0.46685195,0.21223366,False
yor,sentiment,A_vs_C,13,0.23355724,0.39547268,True
yor,sentiment,A_vs_C,14,0.27114135,0.4238756,True
yor,sentiment,A_vs_C,15,0.23145117,0.38553533,True
yor,sentiment,A_vs_C,16,0.21165793,0.37478846,True
yor,sentiment,A_vs_C,17,0.18385878,0.35675994,True
yor,sentiment,A_vs_C,18,0.17887859,0.34655795,True
yor,sentiment,A_vs_C,19,0.1701804,0.345548,True
yor,sentiment,A_vs_C,20,0.07905045,0.33871588,True
yor,sentiment,A_vs_C,21,0.09544093,0.30528945,True
yor,sentiment,A_vs_C,22,0.07755792,0.30805993,True
yor,sentiment,A_vs_C,23,0.10266295,0.26802132,True
yor,sentiment,A_vs_C,24,0.10088749,0.30793798,True
yor,sentiment,A_vs_C,25,0.12442479,0.34263632,True
yor,sentiment,A_vs_C,26,0.1500629,0.37712497,True
yor,sentiment,A_vs_C,27,0.16460256,0.32466897,True
yor,sentiment,A_vs_C,28,0.18011001,0.34088323,True
yor,sentiment,A_vs_C,29,0.16604193,0.37350652,True
yor,sentiment,A_vs_C,30,0.1694043,0.36760843,True
yor,sentiment,A_vs_C,31,0.16806713,0.42903182,True
yor,sentiment,A_vs_C,32,0.20398355,0.44815615,True
yor,sentiment,A_vs_C,33,0.21412313,0.4743269,True
yor,sentiment,A_vs_C,34,0.18695307,0.41296002,True
yor,sentiment,A_vs_C,35,0.18909703,0.42914763,True
yor,sentiment,A_vs_C,36,0.1782631,0.41339225,True
yor,sentiment,A_vs_C,37,0.216997,0.4061631,True
yor,sentiment,A_vs_C,38,0.13925701,0.26459488,True
yor,sentiment,A_vs_C,39,0.17655829,0.3188733,True
yor,sentiment,A_vs_C,40,0.21599862,0.31525075,True
yor,sentiment,A_vs_C,41,0.17105633,0.38858306,True
yor,sentiment,A_vs_C,42,0.15479872,0.39594436,True
yor,sentiment,A_vs_C,43,0.12441461,0.37168607,True
yor,sentiment,A_vs_C,44,0.11731991,0.37880504,True
yor,sentiment,A_vs_C,45,0.14882445,0.39451542,True
yor,sentiment,A_vs_C,46,0.17720151,0.40413186,True
yor,sentiment,A_vs_C,47,0.15455006,0.40400934,True
yor,sentiment,A_vs_C,48,0.4452522,0.5234648,True
yor,sentiment,A_vs_D,0,0.6820929,0.17194565,False
yor,sentiment,A_vs_D,1,0.6500264,0.18559095,False
yor,sentiment,A_vs_D,2,0.62434196,0.11263878,False
yor,sentiment,A_vs_D,3,0.665035,0.34960988,False
yor,sentiment,A_vs_D,4,0.70609653,0.4108502,False
yor,sentiment,A_vs_D,5,0.66835064,0.31321713,False
yor,sentiment,A_vs_D,6,0.5752617,0.35853273,False
yor,sentiment,A_vs_D,7,0.56963444,0.38699183,False
yor,sentiment,A_vs_D,8,0.7120381,0.3235379,False
yor,sentiment,A_vs_D,9,0.6376104,0.30605996,False
yor,sentiment,A_vs_D,10,0.7380647,0.17116939,False
yor,sentiment,A_vs_D,11,0.8047646,0.2682043,False
yor,sentiment,A_vs_D,12,0.70676184,0.21223366,False
yor,sentiment,A_vs_D,13,0.7355582,0.39547268,False
yor,sentiment,A_vs_D,14,0.74589163,0.4238756,False
yor,sentiment,A_vs_D,15,0.76337016,0.38553533,False
yor,sentiment,A_vs_D,16,0.74054235,0.37478846,False
yor,sentiment,A_vs_D,17,0.74449575,0.35675994,False
yor,sentiment,A_vs_D,18,0.7492616,0.34655795,False
yor,sentiment,A_vs_D,19,0.7779319,0.345548,False
yor,sentiment,A_vs_D,20,0.7940422,0.33871588,False
yor,sentiment,A_vs_D,21,0.78449655,0.30528945,False
yor,sentiment,A_vs_D,22,0.79835993,0.30805993,False
yor,sentiment,A_vs_D,23,0.7894752,0.26802132,False
yor,sentiment,A_vs_D,24,0.79850644,0.30793798,False
yor,sentiment,A_vs_D,25,0.7972766,0.34263632,False
yor,sentiment,A_vs_D,26,0.7985563,0.37712497,False
yor,sentiment,A_vs_D,27,0.7934732,0.32466897,False
yor,sentiment,A_vs_D,28,0.8083732,0.34088323,False
yor,sentiment,A_vs_D,29,0.8056971,0.37350652,False
yor,sentiment,A_vs_D,30,0.80372864,0.36760843,False
yor,sentiment,A_vs_D,31,0.82754064,0.42903182,False
yor,sentiment,A_vs_D,32,0.84119076,0.44815615,False
yor,sentiment,A_vs_D,33,0.84213126,0.4743269,False
yor,sentiment,A_vs_D,34,0.82026094,0.41296002,False
yor,sentiment,A_vs_D,35,0.8303561,0.42914763,False
yor,sentiment,A_vs_D,36,0.82298857,0.41339225,False
yor,sentiment,A_vs_D,37,0.8179817,0.4061631,False
yor,sentiment,A_vs_D,38,0.814366,0.26459488,False
yor,sentiment,A_vs_D,39,0.8098198,0.3188733,False
yor,sentiment,A_vs_D,40,0.79940605,0.31525075,False
yor,sentiment,A_vs_D,41,0.8170272,0.38858306,False
yor,sentiment,A_vs_D,42,0.82927877,0.39594436,False
yor,sentiment,A_vs_D,43,0.81910855,0.37168607,False
yor,sentiment,A_vs_D,44,0.81145054,0.37880504,False
yor,sentiment,A_vs_D,45,0.79963934,0.39451542,False
yor,sentiment,A_vs_D,46,0.78703463,0.40413186,False
yor,sentiment,A_vs_D,47,0.75310427,0.40400934,False
yor,sentiment,A_vs_D,48,0.84647864,0.5234648,False
