layer,length_overlap,max_abs_corr_dim_vs_length
0,0.24647944,0.47834807932801415
1,0.21757077,0.4851149182871174
2,0.13836308,0.5405599509784355
3,0.20418265,0.5603105503207614
4,0.36164188,0.5846054326160582
5,0.11994648,0.5482462248652819
6,0.254348,0.5629119020674458
7,0.25400385,0.5491697901924485
8,0.27715215,0.5904012279082307
9,0.23397204,0.5897698228285053
10,0.19573995,0.5779269782681102
11,0.07296129,0.45473202028055504
12,0.17878343,0.5628849127116913
13,0.3497055,0.5972649733891681
14,0.3433655,0.6083291086729942
15,0.25099066,0.6567920214959097
16,0.18285355,0.6078932792349521
17,0.202779,0.5866176730817969
18,0.11212266,0.5915551083199655
19,0.19821785,0.5884186670260603
20,0.30268753,0.6183746109228644
21,0.33237988,0.5935830161938818
22,0.29933938,0.56195787630122
23,0.19599259,0.5852243190355516
24,0.21516694,0.6465591011061647
25,0.214869,0.6333245413007763
26,0.19168673,0.6318615675050876
27,0.113565594,0.6258115921549853
28,0.0792777,0.6491252222892139
29,0.10282308,0.6203096362872709
30,0.046886027,0.6113999226255942
31,0.041213892,0.610515777579135
32,0.009633779,0.6154073654774002
33,0.01991543,0.621030377349533
34,0.07447666,0.6204310275449754
35,0.111069456,0.620272200087429
36,0.1321047,0.6231295261205895
37,0.15546633,0.6247002485535885
38,0.17978175,0.6220213011764729
39,0.17386882,0.6050178754987162
40,0.13277148,0.6008106267773626
41,0.18306004,0.4968816981275276
42,0.123229615,0.4150210806083651
43,0.11605681,0.4195514748153695
44,0.13225077,0.49184634444401515
45,0.09703377,0.43951031428957216
46,0.101884656,0.49860177239260123
47,0.15210967,0.45728234094448494
48,0.46099487,0.4850258822615426
