lang,concept,layer,floor_mean,floor_lo,floor_hi
yor,sentiment,0,0.28877106,0.15784508,0.40269437
yor,sentiment,1,0.38228709,0.25434467,0.5191436
yor,sentiment,2,0.12816623,-0.094197616,0.35564578
yor,sentiment,3,0.26287827,0.15304357,0.42147467
yor,sentiment,4,0.23671567,0.08125241,0.34622684
yor,sentiment,5,0.28001004,0.14523204,0.3903027
yor,sentiment,6,0.30767912,0.20755884,0.42763495
yor,sentiment,7,0.3636666,0.2654384,0.47616592
yor,sentiment,8,0.3896385,0.32412544,0.47557977
yor,sentiment,9,0.40501633,0.27575627,0.5111127
yor,sentiment,10,0.33148697,0.2274301,0.43878052
yor,sentiment,11,0.3670774,0.24726558,0.49105814
yor,sentiment,12,0.38962206,0.26176584,0.50192326
yor,sentiment,13,0.37879872,0.2674748,0.49700207
yor,sentiment,14,0.43687677,0.36743098,0.52553886
yor,sentiment,15,0.48452806,0.3247405,0.58699584
yor,sentiment,16,0.5489265,0.38952163,0.6361067
yor,sentiment,17,0.51615274,0.37673277,0.59327775
yor,sentiment,18,0.47566032,0.354329,0.5364184
yor,sentiment,19,0.441158,0.3230766,0.5019073
yor,sentiment,20,0.4676222,0.32328236,0.5506833
yor,sentiment,21,0.47103992,0.33144832,0.55709535
yor,sentiment,22,0.5245738,0.40097126,0.59861153
yor,sentiment,23,0.5365423,0.40234646,0.61282027
yor,sentiment,24,0.55800384,0.4191544,0.6584689
yor,sentiment,25,0.46011472,0.33173177,0.59161544
yor,sentiment,26,0.40364155,0.27186936,0.49075562
yor,sentiment,27,0.3933272,0.30252835,0.47602826
yor,sentiment,28,0.37731797,0.24966437,0.48978326
yor,sentiment,29,0.39052713,0.2656119,0.49195626
yor,sentiment,30,0.40686017,0.28865364,0.51211256
yor,sentiment,31,0.3997687,0.2564382,0.51008284
yor,sentiment,32,0.3825528,0.23181109,0.50257343
yor,sentiment,33,0.37381533,0.23680106,0.4898429
yor,sentiment,34,0.3651509,0.21119297,0.485939
yor,sentiment,35,0.3084647,-0.0592615,0.4984171
