lang,concept,layer,floor_mean,floor_lo,floor_hi
yor,sentiment,0,0.29475766,0.17194565,0.40022662
yor,sentiment,1,0.30459446,0.18559095,0.4708785
yor,sentiment,2,0.283282,0.11263878,0.45255008
yor,sentiment,3,0.496401,0.34960988,0.68773055
yor,sentiment,4,0.52589774,0.4108502,0.6937957
yor,sentiment,5,0.42072424,0.31321713,0.5729168
yor,sentiment,6,0.49652505,0.35853273,0.6494662
yor,sentiment,7,0.4918564,0.38699183,0.6352726
yor,sentiment,8,0.42365345,0.3235379,0.5662904
yor,sentiment,9,0.41849056,0.30605996,0.5354473
yor,sentiment,10,0.31452402,0.17116939,0.48285937
yor,sentiment,11,0.4109335,0.2682043,0.6039564
yor,sentiment,12,0.35288113,0.21223366,0.52563787
yor,sentiment,13,0.48786515,0.39547268,0.60136867
yor,sentiment,14,0.5023302,0.4238756,0.60943156
yor,sentiment,15,0.49764633,0.38553533,0.6110155
yor,sentiment,16,0.49118066,0.37478846,0.5990344
yor,sentiment,17,0.4923052,0.35675994,0.60213464
yor,sentiment,18,0.4614118,0.34655795,0.5840593
yor,sentiment,19,0.4732836,0.345548,0.6021389
yor,sentiment,20,0.47129697,0.33871588,0.59148574
yor,sentiment,21,0.43163213,0.30528945,0.5449391
yor,sentiment,22,0.44369507,0.30805993,0.54405063
yor,sentiment,23,0.44674033,0.26802132,0.56035703
yor,sentiment,24,0.4783821,0.30793798,0.58742607
yor,sentiment,25,0.5008655,0.34263632,0.61042
yor,sentiment,26,0.49675328,0.37712497,0.60431516
yor,sentiment,27,0.47388834,0.32466897,0.5701268
yor,sentiment,28,0.48981267,0.34088323,0.5977119
yor,sentiment,29,0.4926633,0.37350652,0.59658426
yor,sentiment,30,0.4955055,0.36760843,0.6063611
yor,sentiment,31,0.5461365,0.42903182,0.64261276
yor,sentiment,32,0.5600287,0.44815615,0.65156424
yor,sentiment,33,0.58780587,0.4743269,0.6755489
yor,sentiment,34,0.5108405,0.41296002,0.60832417
yor,sentiment,35,0.5153443,0.42914763,0.6115122
yor,sentiment,36,0.4966581,0.41339225,0.59394795
yor,sentiment,37,0.47182456,0.4061631,0.56884444
yor,sentiment,38,0.4304095,0.26459488,0.54492056
yor,sentiment,39,0.45270568,0.3188733,0.5625063
yor,sentiment,40,0.4644507,0.31525075,0.5797065
yor,sentiment,41,0.51087224,0.38858306,0.6176474
yor,sentiment,42,0.5273112,0.39594436,0.6472946
yor,sentiment,43,0.5356218,0.37168607,0.6504123
yor,sentiment,44,0.5331402,0.37880504,0.64182687
yor,sentiment,45,0.53523433,0.39451542,0.64301443
yor,sentiment,46,0.52463794,0.40413186,0.6383066
yor,sentiment,47,0.50232416,0.40400934,0.6126072
yor,sentiment,48,0.6775203,0.5234648,0.7944341
