lang,concept,arm,layer,cosine,floor_mean,floor_lo,floor_hi,length_overlap,below_floor
yor,sentiment,C,0,0.3319053,0.28877106,0.15784508,0.40269437,0.21548294,False
yor,sentiment,C,1,0.16938348,0.38228709,0.25434467,0.5191436,0.28197733,True
yor,sentiment,C,2,0.030445438,0.12816623,-0.094197616,0.35564578,0.18034223,False
yor,sentiment,C,3,0.22749965,0.26287827,0.15304357,0.42147467,0.0023084972,False
yor,sentiment,C,4,0.075505,0.23671567,0.08125241,0.34622684,0.27260286,True
yor,sentiment,C,5,0.20785071,0.28001004,0.14523204,0.3903027,0.20219609,False
yor,sentiment,C,6,0.18283394,0.30767912,0.20755884,0.42763495,0.1724127,True
yor,sentiment,C,7,0.18408895,0.3636666,0.2654384,0.47616592,0.19353853,True
yor,sentiment,C,8,0.14838566,0.3896385,0.32412544,0.47557977,0.20904568,True
yor,sentiment,C,9,0.080250695,0.40501633,0.27575627,0.5111127,0.3433257,True
yor,sentiment,C,10,0.11220631,0.33148697,0.2274301,0.43878052,0.26605636,True
yor,sentiment,C,11,0.14816532,0.3670774,0.24726558,0.49105814,0.24726932,True
yor,sentiment,C,12,0.13254517,0.38962206,0.26176584,0.50192326,0.38514233,True
yor,sentiment,C,13,-0.018703582,0.37879872,0.2674748,0.49700207,0.40114573,True
yor,sentiment,C,14,0.063246734,0.43687677,0.36743098,0.52553886,0.45468104,True
yor,sentiment,C,15,0.22108963,0.48452806,0.3247405,0.58699584,0.23087734,True
yor,sentiment,C,16,0.0954192,0.5489265,0.38952163,0.6361067,0.1830214,True
yor,sentiment,C,17,0.10346831,0.51615274,0.37673277,0.59327775,0.12476747,True
yor,sentiment,C,18,0.1063339,0.47566032,0.354329,0.5364184,0.15090811,True
yor,sentiment,C,19,0.12471262,0.441158,0.3230766,0.5019073,0.15578929,True
yor,sentiment,C,20,0.19689283,0.4676222,0.32328236,0.5506833,0.14736812,True
yor,sentiment,C,21,0.28922388,0.47103992,0.33144832,0.55709535,0.14211804,True
yor,sentiment,C,22,0.33695543,0.5245738,0.40097126,0.59861153,0.1181487,True
yor,sentiment,C,23,0.30757695,0.5365423,0.40234646,0.61282027,0.10602579,True
yor,sentiment,C,24,0.23143537,0.55800384,0.4191544,0.6584689,0.16054316,True
yor,sentiment,C,25,0.16948697,0.46011472,0.33173177,0.59161544,0.20992456,True
yor,sentiment,C,26,0.18322836,0.40364155,0.27186936,0.49075562,0.13952084,True
yor,sentiment,C,27,0.2159495,0.3933272,0.30252835,0.47602826,0.10788314,True
yor,sentiment,C,28,0.1886126,0.37731797,0.24966437,0.48978326,0.12268598,True
yor,sentiment,C,29,0.21307254,0.39052713,0.2656119,0.49195626,0.105891705,True
yor,sentiment,C,30,0.20662971,0.40686017,0.28865364,0.51211256,0.11587005,True
yor,sentiment,C,31,0.20969939,0.3997687,0.2564382,0.51008284,0.11308914,True
yor,sentiment,C,32,0.21525441,0.3825528,0.23181109,0.50257343,0.09435753,True
yor,sentiment,C,33,0.21127483,0.37381533,0.23680106,0.4898429,0.106339835,True
yor,sentiment,C,34,0.23965988,0.3651509,0.21119297,0.485939,0.13183238,False
yor,sentiment,C,35,0.22920999,0.3084647,-0.0592615,0.4984171,0.0771045,False
yor,sentiment,D,0,0.6471764,0.28877106,0.15784508,0.40269437,0.21548294,False
yor,sentiment,D,1,0.66250205,0.38228709,0.25434467,0.5191436,0.28197733,False
yor,sentiment,D,2,0.49382094,0.12816623,-0.094197616,0.35564578,0.18034223,False
yor,sentiment,D,3,0.65394944,0.26287827,0.15304357,0.42147467,0.0023084972,False
yor,sentiment,D,4,0.6368612,0.23671567,0.08125241,0.34622684,0.27260286,False
yor,sentiment,D,5,0.5443166,0.28001004,0.14523204,0.3903027,0.20219609,False
yor,sentiment,D,6,0.6107653,0.30767912,0.20755884,0.42763495,0.1724127,False
