layer,length_overlap,max_abs_corr_dim_vs_length
0,0.15844652,0.37597319728201306
1,0.23079148,0.5793411452979716
2,0.3114125,0.5801468704658718
3,0.40311837,0.5086298587892404
4,0.13707742,0.4765861411133672
5,0.17057337,0.512879920852106
6,0.16593051,0.5484271772693845
7,0.11338435,0.4736444416264713
8,0.05663385,0.5551243776571008
9,0.14914475,0.6150787054262683
10,0.04119248,0.6233537154685889
11,0.12737593,0.5775313819686608
12,0.19431007,0.6095533557149138
13,0.22148089,0.5836584457885208
14,0.24498658,0.5131758704714876
15,0.23280239,0.5172268318925748
16,0.21158388,0.553253801897505
17,0.1630895,0.5120466617283606
18,0.27547467,0.5363732447146051
19,0.19598821,0.6018350749583298
20,0.28727707,0.5879159550595471
21,0.30040032,0.6213635630839408
22,0.41499463,0.5842419613007328
23,0.26776725,0.5639976544433598
24,0.056902524,0.49805757667639977
25,0.017428584,0.49260584306886995
26,0.051923558,0.549117123224172
27,0.015220878,0.5365868672011745
28,0.024427295,0.5018370073666113
29,0.033650115,0.48843454355305566
30,0.13854283,0.5471602222162035
31,0.15543915,0.523953591634511
32,0.17550258,0.5299439242025543
33,0.13699919,0.50704341756448
34,0.051449295,0.5038279518788342
35,0.012537956,0.5277526839468335
36,0.01174321,0.5346274898426676
37,0.059368014,0.5309911388200025
38,0.072492205,0.5222088601508722
39,0.08389798,0.5237132698459612
40,0.073889725,0.5209173862781028
41,0.36344022,0.5310951783623941
42,0.19107142,0.4399165393045598
