layer,length_overlap,max_abs_corr_dim_vs_length
0,0.14820412,0.34111553744726847
1,0.48605484,0.6388269127968036
2,0.9974736,0.6933277477059561
3,0.99613726,0.7098896358122814
4,0.99318355,0.6882976984997783
5,0.9868473,0.6788604666168838
6,0.98107123,0.6599956840352743
7,0.9711658,0.620631426116999
8,0.9593903,0.6186069044792328
9,0.9555248,0.6190490193347548
10,0.9506031,0.6187623856433278
11,0.94553584,0.618857592645182
12,0.94287574,0.6198327057955377
13,0.93632936,0.6192172469128756
14,0.9325369,0.6206686637453022
15,0.928998,0.6210749870826597
16,0.9160916,0.6231967239492465
17,0.90989155,0.6245960527833617
18,0.8914641,0.6270238785670615
19,0.87716365,0.6265843180971075
20,0.8619769,0.6261529864930623
21,0.83360493,0.6251218403623799
22,0.799708,0.6273957327831113
23,0.7780623,0.6279905217588491
24,0.7408072,0.6278494233798808
25,0.71189255,0.6278900335286945
26,0.6717652,0.6289576084377652
27,0.6329373,0.629533703926876
28,0.58931434,0.6331376535663169
29,0.53900653,0.6325393466423013
30,0.48907366,0.6298511301807942
31,0.39794102,0.6299750589795602
32,0.0034864405,0.6171922604605508
