lang,concept,arm,layer,cosine,floor_mean,floor_lo,floor_hi,length_overlap,below_floor
yor,sentiment,C,0,0.32293257,0.30114442,0.17255645,0.4449049,0.14820412,False
yor,sentiment,C,1,0.07353211,0.50652134,0.38967064,0.5940032,0.48605484,True
yor,sentiment,C,2,-0.97762847,0.9942396,0.98932403,0.99652517,0.9974736,True
yor,sentiment,C,3,-0.96645623,0.991759,0.98474854,0.99501735,0.99613726,True
yor,sentiment,C,4,-0.94059324,0.98605,0.9734542,0.9913971,0.99318355,True
yor,sentiment,C,5,-0.8937633,0.97627723,0.9540084,0.9854473,0.9868473,True
yor,sentiment,C,6,-0.8469157,0.96751785,0.9355721,0.98043925,0.98107123,True
yor,sentiment,C,7,-0.77414876,0.9544449,0.9082187,0.9721092,0.9711658,True
yor,sentiment,C,8,-0.7056869,0.94096124,0.8834822,0.96426207,0.9593903,True
yor,sentiment,C,9,-0.6760776,0.93569565,0.8750801,0.9603472,0.9555248,True
yor,sentiment,C,10,-0.63989276,0.9305401,0.8679559,0.95762044,0.9506031,True
yor,sentiment,C,11,-0.59158355,0.9267106,0.8612084,0.9545289,0.94553584,True
yor,sentiment,C,12,-0.5764662,0.9255249,0.86019,0.9546907,0.94287574,True
yor,sentiment,C,13,-0.51994276,0.91958475,0.85207665,0.9510175,0.93632936,True
yor,sentiment,C,14,-0.48775396,0.9164174,0.8484234,0.9483811,0.9325369,True
yor,sentiment,C,15,-0.46939957,0.91205657,0.84109247,0.9459101,0.928998,True
yor,sentiment,C,16,-0.42425883,0.8967212,0.8189459,0.9357154,0.9160916,True
yor,sentiment,C,17,-0.40798494,0.8842205,0.80481917,0.9265391,0.90989155,True
yor,sentiment,C,18,-0.34045595,0.8660161,0.7822265,0.9145444,0.8914641,True
yor,sentiment,C,19,-0.29209992,0.8525612,0.76415056,0.9046069,0.87716365,True
yor,sentiment,C,20,-0.24750198,0.83457434,0.7452389,0.8906061,0.8619769,True
yor,sentiment,C,21,-0.18371812,0.81831837,0.7200556,0.87977654,0.83360493,True
yor,sentiment,C,22,-0.11775686,0.79429615,0.6949033,0.8594829,0.799708,True
yor,sentiment,C,23,-0.08532014,0.7762068,0.675881,0.84220946,0.7780623,True
yor,sentiment,C,24,-0.01417538,0.7607301,0.6592503,0.8274784,0.7408072,True
yor,sentiment,C,25,0.010996067,0.7431273,0.6462935,0.8096674,0.71189255,True
yor,sentiment,C,26,0.048725594,0.7226826,0.62920654,0.7906473,0.6717652,True
yor,sentiment,C,27,0.074731044,0.7026574,0.61213046,0.7707178,0.6329373,True
yor,sentiment,C,28,0.104165815,0.6820619,0.5942569,0.7514636,0.58931434,True
yor,sentiment,C,29,0.13072175,0.6624587,0.5707314,0.73739135,0.53900653,True
yor,sentiment,C,30,0.17244278,0.63608766,0.54636645,0.71057725,0.48907366,True
yor,sentiment,C,31,0.17396389,0.6101836,0.5010867,0.6871555,0.39794102,True
yor,sentiment,C,32,0.1976688,0.50883734,0.38733703,0.5947851,0.0034864405,True
yor,sentiment,D,0,0.60130817,0.30114442,0.17255645,0.4449049,0.14820412,False
yor,sentiment,D,1,0.79093313,0.50652134,0.38967064,0.5940032,0.48605484,False
yor,sentiment,D,2,0.9988984,0.9942396,0.98932403,0.99652517,0.9974736,False
yor,sentiment,D,3,0.99834156,0.991759,0.98474854,0.99501735,0.99613726,False
yor,sentiment,D,4,0.9971541,0.98605,0.9734542,0.9913971,0.99318355,False
